Stampede Schedule — Weekdays,"Schedules Effective Wednesday, August 21, 2024",Bus Schedule
Departures From North Campus,Departures From South Campus
Ellicott,Lee Loop,Governors,Hadley Village,Flint Loop,Service Center Road,Maynard,Goodyear,Main Circle,Maynard,Service Center Road,Flint Loop,Hadley Village,Governors,Davis Hall,Lee Loop
no pickup,no pickup,no pickup,no pickup,no pickup,no pickup,no pickup,5:56 AM,6:00,6:04,6:09,6:15,6:17,6:19,6:22,6:25
no pickup,no pickup,no pickup,no pickup,no pickup,no pickup,no pickup,6:26,6:30,6:34,6:38,6:45,6:47,6:49,6:52,6:55
10:00,10:03,10:05,10:07,10:10,10:13
10:20,10:23,10:25,10:27,10:30,10:33
10:40,10:43,10:45,10:47,10:50,10:53
11:00,11:03,11:05,11:07,11:10,11:13
11:20,11:23,11:25,11:27,11:30,11:33
11:40,11:43,11:45,11:47,11:50,11:53
12:00,12:03,12:05,12:07,12:10,12:13
12:20,12:23,12:25,12:27,12:30,12:33
12:40,12:43,12:45,12:47,12:50,12:53
1:00,1:03,1:05,1:07,1:10,1:13
1:20,1:23,1:25,1:27,1:30,1:33
1:40,1:43,1:45,1:47,1:50,1:53
2:00,2:03,2:05,2:07,2:10,2:13
2:20,2:23,2:25,2:27,2:30,2:33
2:40,2:43,2:45,2:47,2:50,2:53
3:00,3:03,3:05,3:07,3:10,3:13
3:20,3:23,3:25,3:27,3:30,3:33
3:40,3:43,3:45,3:47,3:50,3:53
4:00,4:03,4:05,4:07,4:10,4:13
4:20,4:23,4:25,4:27,4:30,4:33
4:40,4:43,4:45,4:47,4:50,4:53
5:00,5:03,5:05,5:07,5:10,5:13
5:20,5:23,5:25,5:27,5:30,5:33
5:40,5:43,5:45,5:47,5:50,5:53
6:00,6:03,6:05,6:07,6:10,6:13
6:20,6:23,6:25,6:27,6:30,6:33
6:40,6:43,6:45,6:47,6:50,6:53
7:00,No pickup,No pickup,No pickup,No pickup,No pickup
Student Health Services Shuttle,"Operates Monday Through Friday, 7:40a.m. - 7:00 p.m.",Bus Schedule
Student Union,Founders/O'Brian,Student Health Services
8:40,8:45,8:55
9:00,9:05,9:15
9:20,9:25,9:35
9:40,9:45,9:55
10:00,10:05,10:15
10:20,10:25,10:35
10:40,10:45,10:55
11:00,11:05,11:15
11:20,11:25,11:35
11:40,11:45,11:55
12:00,12:05,12:15
12:20,12:25,12:35
12:40,12:45,12:55
1:00,1:05,1:15
1:20,1:25,1:35
1:40,1:45,1:55
2:00,2:05,2:15
2:20,2:25,2:35
2:40,2:45,2:55
3:00,3:05,3:15
3:20,3:25,3:35
3:40,3:45,3:55
4:00,4:05,4:15
4:20,4:25,4:35
4:40,4:45,4:55
5:00,5:05,5:15
5:20,5:25,5:35
5:40,no pickup,no pickup

5:40,5:45,5:55
6:00,6:05,6:15
6:20,6:25,6:35
6:40,6:45,6:55
7:00,7:05,7:15
South Campus Shuttle Schedule,Monday From 8:40 a.m. - 7:15 p.m.,Bus Schedule
Main Circle,Main-Bailey Park & Ride,Sherman Hall,Diefendorf Loop,Clark Hall,Pharmacy and Parker,Hayes Hall
8:30,8:35,8:38,8:40,8:43,8:45,8:48
8:50,8:55,8:58,9:00,9:03,9:05,9:08
9:10,9:15,9:18,9:20,9:23,9:25,9:28
9:30,9:35,9:38,9:40,9:43,9:45,9:48
9:50,9:55,9:58,10:00,10:03,10:05,10:08
10:10,10:15,10:18,10:20,10:23,10:25,10:28
no pickup,no pickup,no pickup,no pickup,no pickup,no pickup,no pickup
no pickup,no pickup,no pickup,no pickup,no pickup,no pickup,no pickup
no pickup,no pickup,no pickup,no pickup,no pickup,no pickup,no pickup
11:30,11:35,11:38,11:40,11:43,11:45,11:48
11:50,11:55,11:58,12:00,12:03,12:05,12:08
12:10,12:15,12:18,12:20,12:23,12:25,12:28
12:30,12:35,12:38,12:40,12:43,12:45,12:48
12:50,12:55,12:58,1:00,1:03,1:05,1:08
1:10,1:15,1:18,1:20,1:23,1:25,1:28
1:30,1:35,1:38,1:40,1:43,1:45,1:48
1:50,1:55,1:58,2:00,2:03,2:05,2:08
2:10,2:15,2:18,2:20,2:23,2:25,2:28
2:30,2:35,2:38,2:40,2:43,2:45,2:48
2:50,2:55,2:58,3:00,3:03,3:05,3:08
3:10,3:15,3:18,3:20,3:23,3:25,3:28
3:30,3:35,3:38,3:40,3:43,3:45,3:48
3:50,3:55,3:58,4:00,4:03,4:05,4:08
4:10,4:15,4:18,4:20,4:23,4:25,4:28
4:30,4:35,4:38,4:40,4:43,4:45,4:48
4:50,4:55,4:58,5:00,5:03,5:05,5:08
5:10,5:15,5:18,5:20,5:23,5:25,5:28
5:30,5:35,5:38,5:40,no pickup,no pickup,no pickup
North Campus Shopping Shuttle (Saturdays Only) Schedule,Tuesday through Friday from 8:40 a.m. - 5:40 p.m.,Bus Schedule
Flickinger Court,Ellicott,Governors,Walmart,Wegmans,Tops,Planet Fitness,Target
no pickup,no pickup,1:17,1:30,1:45,1:50,1:53,1:55
1:30,1:35,1:37,1:50,2:05,2:10,2:13,2:15
no pickup,1:55,1:57,2:10,2:25,2:30,2:33,2:35
2:10,2:15,2:17,2:30,2:45,2:50,2:53,2:55
2:30,2:35,2:37,2:50,3:05,3:10,3:13,3:15
2:50,2:55,2:57,3:10,3:25,3:30,3:33,3:35
3:10,3:15,3:17,3:30,3:45,3:50,3:53,3:55
3:30,3:35,3:37,3:50,4:05,4:10,4:13,4:15
3:50,3:55,3:57,4:10,4:25,4:30,4:33,4:35
4:10,4:15,4:17,4:30,4:45,4:50,4:53,4:55
4:30,4:35,4:37,4:50,5:05,5:10,5:13,5:15
4:50,4:55,4:57,5:10,5:25,5:30,5:33,5:35
5:40,5:45,5:47,6:00,6:15,6:20,6:23,6:25
6:00,6:05,6:07,6:20,6:35,6:40,6:43,6:45
6:20,6:25,6:27,6:40,6:55,7:00,7:03,7:05
6:40,6:45,6:47,7:00,7:15,7:20,7:23,7:25
7:00,7:05,7:07,7:20,7:35,7:40,7:43,7:45
7:20,7:25,7:27,7:40,7:55,8:00,8:03,8:05
7:40,7:45,7:47,8:00,8:15,8:20,8:23,8:25
8:00,8:05,8:07,8:20,8:35,8:40,8:43,8:45
8:20,8:25,8:27,8:40,8:55,9:00,9:03,9:05
8:40,8:45,8:47,9:00,9:15,9:20,9:23,9:25
9:00,9:05,9:07,no pickup,no pickup,no pickup,no pickup,no pickup
9:20,9:25,9:27,no pickup,no pickup,no pickup,no pickup,no pickup
9:40,9:45,9:47,no pickup,no pickup,no pickup,no pickup,no pickup
South Campus Shopping Shuttle Schedule,"Operates Monday Through Friday, 8:30a.m. - 6:00 p.m.",Bus Schedule
Goodyear Hall,Main Circle,Walmart,Wegmans,Tops,Planet Fitness (starts 11/9),Target
2:00,2:05,2:15,2:35,2:40,2:43,2:45
2:30,2:35,2:45,3:05,3:10,3:13,3:15
3:00,3:05,3:15,3:35,3:40,3:43,3:45
3:30,3:35,3:45,4:05,4:10,4:13,4:15
4:00,4:05,4:15,4:35,4:40,4:43,4:45
4:30,4:35,4:45,5:05,5:10,5:13,5:15
5:30,5:35,5:45,6:05,6:10,6:13,6:15
6:00,6:05,6:15,6:35,6:40,6:43,6:45
6:30,6:35,6:45,7:05,7:10,7:13,7:15
7:00,7:05,7:15,7:35,7:40,7:43,7:45
7:30,7:35,7:45,8:05,8:10,8:13,8:15
8:00,8:05,8:15,8:35,8:40,8:43,8:45
8:30,no pickup,no pickup,no pickup,no pickup,no pickup,no pickup
9:00,no pickup,no pickup,no pickup,no pickup,no pickup,no pickup
North Campus Apartment-Shopping Shuttle Schedule - Thursdays Only,Shopping Shuttle Schedules,Bus Schedule
Creekside Community Bldg,South Lake Community Bldg,Flint Community Bldg,Hadley Community Bldg,Walmart,Wegmans,Tops,Planet Fitness,Target
4:00,4:04,4:08,4:11,4:20,4:35,4:40,4:43,4:45
4:20,4:24,4:28,4:31,4:40,4:55,5:00,5:03,5:05
4:40,4:44,4:48,4:51,5:00,5:15,5:20,5:23,5:25
5:00,5:04,5:08,5:11,5:20,5:35,5:40,5:43,5:45
5:20,5:24,5:28,5:31,5:40,5:55,6:00,6:03,6:05
5:40,5:44,5:48,5:51,6:00,6:15,6:20,6:23,6:25
6:00,6:04,6:08,6:11,6:20,6:35,6:40,6:43,6:45
6:20,6:24,6:28,6:31,6:40,6:55,7:00,7:03,7:05
6:40,6:44,6:48,6:51,7:00,7:15,7:20,7:23,7:25
7:00,7:04,7:08,7:11,7:20,7:35,7:40,7:43,7:45
7:20,7:24,7:28,7:31,7:40,7:55,8:00,8:03,8:05
7:40,7:44,7:48,7:51,8:00,8:15,8:20,8:23,8:25
8:00,8:04,8:08,8:11,8:20,8:35,8:40,8:43,8:45
8:20,8:24,8:28,8:31,8:40,8:55,9:00,9:03,9:05
8:40,8:44,8:48,8:51,9:00,9:15,9:20,9:23,9:25
Tops Market Express Schedule,Operates Saturdays 1:15 p.m. - 9:45 p.m.,Bus Schedule
Ellicott,Tops Market
5:00 p.m.,5:15 p.m.
5:30,5:45
6:00,6:15
6:30,6:45
7:00,7:15
7:30,7:45
8:00,8:15
8:30,8:45
Asia Food Market Express Schedule,Operates Saturdays 2:00 p.m. - 9:00 p.m.,Bus Schedule
Ellicott,Asia Food Market
4:00 PM,4:15
4:30,4:45
5:00,5:15
5:30,5:45
6:00,6:15
6:30,6:45
7:00,7:15
7:30,7:45
