Event Name,Date and Time,URL
Open REC: Basketball,"Wednesday, October 23, 2024, 10/23/2024, 5:00 PM - 7:00 PM (ET)",https://calendar.buffalo.edu/event/open-rec-basketball-874/
Open REC: Swim,"Wednesday, October 23, 2024, 10/23/2024, 5:00 PM - 9:30 PM (ET)",https://calendar.buffalo.edu/event/open-rec-swim-1515/
Spin Boot Camp,"Wednesday, October 23, 2024, 10/23/2024, 5:00 PM - 5:45 PM (ET)",https://calendar.buffalo.edu/event/spinning-113/
UB Artificial Intelligence Club — Docker to Kubernetes: Scaling Applications,"Wednesday, October 23, 2024, 10/23/2024, 5:00 PM - 6:00 PM (ET)",https://calendar.buffalo.edu/event/ub-artificial-intelligence-club--docker-to-kubernetes-scaling-applications/
Open REC: Swim,"Wednesday, October 23, 2024, 10/23/2024, 6:00 PM - 8:00 PM (ET)",https://calendar.buffalo.edu/event/open-rec-swim-1620/
Open Figure Drawing,"Wednesday, October 23, 2024, 10/23/2024, 6:30 PM - 9:00 PM (ET)",https://calendar.buffalo.edu/event/open-figure-drawing-36/
Get Seeded,"Wednesday, October 23, 2024, 10/23/2024, 7:00 PM - 8:00 PM (ET)",https://calendar.buffalo.edu/event/get-seeded-28/
Open REC: Meditation,"Wednesday, October 23, 2024, 10/23/2024, 7:00 PM - 9:00 PM (ET)",https://calendar.buffalo.edu/event/open-rec-meditation-221/
10/24 University at Buffalo Women's Tennis vs MAC Fall Championships,"Wednesday, October 23, 2024, Starts: 10/24/2024 12:00 AM (ET)",https://calendar.buffalo.edu/event/1024-university-at-buffalo-womens-tennis-vs-mac-fall-championships/
Open REC: Basketball,"Wednesday, October 23, 2024, 10/24/2024, 6:00 AM - 8:00 AM (ET)",https://calendar.buffalo.edu/event/open-rec-basketball-967/
Open REC: Fitness Center,"Wednesday, October 23, 2024, 10/24/2024, 6:00 AM - 10:45 PM (ET)",https://calendar.buffalo.edu/event/open-rec-fitness-center-855/
Open REC: Indoor Jogging Track,"Wednesday, October 23, 2024, 10/24/2024, 6:00 AM - 10:45 PM (ET)",https://calendar.buffalo.edu/event/open-rec-indoor-jogging-track-376/
Open REC: Racquetball,"Wednesday, October 23, 2024, 10/24/2024, 6:00 AM - 10:45 PM (ET)",https://calendar.buffalo.edu/event/open-rec-racquetball-396/
Open REC: Swim,"Wednesday, October 23, 2024, 10/24/2024, 7:00 AM - 8:30 AM (ET)",https://calendar.buffalo.edu/event/open-rec-swim-1516/
Open REC: Badminton,"Wednesday, October 23, 2024, 10/24/2024, 8:00 AM - 9:45 PM (ET)",https://calendar.buffalo.edu/event/open-rec-badminton-304/
Open REC: Basketball,"Wednesday, October 23, 2024, 10/24/2024, 8:00 AM - 9:45 PM (ET)",https://calendar.buffalo.edu/event/open-rec-basketball-1060/
Open REC: Fitness Center,"Wednesday, October 23, 2024, 10/24/2024, 8:00 AM - 9:45 PM (ET)",https://calendar.buffalo.edu/event/open-rec-fitness-center-961/
Open REC: Racquetball/Squash,"Wednesday, October 23, 2024, 10/24/2024, 8:00 AM - 9:45 PM (ET)",https://calendar.buffalo.edu/event/open-rec-racquetballsquash-304/
Peter J. Johnson National Civil Rights Trial Competition,"Thursday, October 24, 2024, 10/24/2024, 9:00 AM - 5:00 PM (ET)",https://calendar.buffalo.edu/event/peter-j-johnson-national-civil-rights-trial-competition-4/
Circuit Functional Training,"Thursday, October 24, 2024, 10/24/2024, 10:00 AM - 10:45 AM (ET)",https://calendar.buffalo.edu/event/circuit-functional-training-16/
Flu Clinic - Downtown Campus,"Thursday, October 24, 2024, 10/24/2024, 11:00 AM - 2:00 PM (ET)",https://calendar.buffalo.edu/event/flu-clinic---downtown-campus-6/
Nursing Graduate Programs Information Sessions,"Thursday, October 24, 2024, 10/24/2024, 11:00 AM - 12:00 PM (ET)",https://calendar.buffalo.edu/event/nursing-graduate-programs-information-sessions-28/
"Department of Medicine: DOM Virtual City Wide Grand Rounds ""Renal Artery Denervation for Hypertension Hope or Hype?""","Thursday, October 24, 2024, 10/24/2024, 12:00 PM - 1:00 PM (ET)",https://calendar.buffalo.edu/site/jsmbs/event/department-of-medicine-dom-virtual-city-wide-grand-rounds--renal-artery-denervation-for-hypertension-hope-or-hype/
Offshore Wind Opportunities — Lunch and Learn,"Thursday, October 24, 2024, 10/24/2024, 12:00 PM - 1:00 PM (ET)",https://calendar.buffalo.edu/event/tcie--lunch--learn-with-women-in-science-and-engineering-wise/
Open REC: Swim,"Thursday, October 24, 2024, 10/24/2024, 12:00 PM - 1:30 PM (ET)",https://calendar.buffalo.edu/event/open-rec-swim-1696/
Open REC: Swim,"Thursday, October 24, 2024, 10/24/2024, 12:00 PM - 1:30 PM (ET)",https://calendar.buffalo.edu/event/open-rec-swim-1385/
South Campus Walk,"Thursday, October 24, 2024, 10/24/2024, 12:00 PM - 12:30 PM (ET)",https://calendar.buffalo.edu/event/south-campus-walk-14/
Traditional and Accelerated Bachelor's in Nursing Information Session - Virtual,"Thursday, October 24, 2024, 10/24/2024, 12:00 PM - 1:00 PM (ET)",https://calendar.buffalo.edu/event/traditional-and-accelerated-bachelors-in-nursing-information-session---virtual-24/
Body Balance,"Thursday, October 24, 2024, 10/24/2024, 12:10 PM - 12:50 PM (ET)",https://calendar.buffalo.edu/event/body-balance-15/
Helix Bar Review Tabling,"Thursday, October 24, 2024, 10/24/2024, 12:30 PM - 2:30 PM (ET)",https://calendar.buffalo.edu/event/helix-bar-review-tabling-13/
Cancelled - OSA: Yoga with Ashley Abbott,"Thursday, October 24, 2024, 10/24/2024, 2:00 PM - 2:30 PM (ET)",https://calendar.buffalo.edu/event/osa-yoga-with-ashley-abbott-7/
Us-You=Me,"Thursday, October 24, 2024, 10/24/2024, 2:00 PM - 3:00 PM (ET)",https://calendar.buffalo.edu/event/us-youme-18/
CSO: Plan Your Path - CANCELLED,"Thursday, October 24, 2024, 10/24/2024, 2:15 PM - 3:15 PM (ET)",https://calendar.buffalo.edu/event/cso-plan-your-path-6/
Pilates,"Thursday, October 24, 2024, 10/24/2024, 2:15 PM - 3:00 PM (ET)",https://calendar.buffalo.edu/event/pilates-149/
OSA: Yoga with Ashley Abbott - CANCELLED,"Thursday, October 24, 2024, 10/24/2024, 2:30 PM - 3:00 PM (ET)",https://calendar.buffalo.edu/event/osa-yoga-with-ashley-abbott-20/
